,intitule,entreprise,Type Contrat,Niveau Experience,texte
0,Data Analyst Force de Vente (H/F),Atmosphères,"3 000 € - 3 400 € par mois - Temps plein, CDI",,"L'agence
Atmosphères est une agence de force de vente supplétive, spécialisée dans le high-tech. Nous intervenons ainsi pour des clients prestigieux à travers trois pôles d’activités qui sont :
La force de vente supplétive pérenne ou ponctuelle
Les programmes d’animations commerciales long terme ou moyen terme
La mise en place d’opération commando merchandising
Nous recherchons tout au long de l’année des profils : d’animateurs commerciaux, de formateurs, de chefs de secteurs, de managers terrain, d’ambassadeurs de vente.
Nous pouvons ainsi proposer à chacun de nos collaborateurs après un parcours d’intégration de vivre une aventure unique au sein de notre agence en collaborant pour le compte de grandes sociétés reconnues mondialement. Nous vous accompagnons au quotidien afin de vous faire évoluer tout au long de votre carrière professionnelle.
Nous mettons à votre disposition des outils innovants afin de pouvoir mesurer votre activité au quotidien et garantir à nos clients un ROI.
Le poste
Vous travaillerez en coordination avec le pôle Force de Vente de l’Agence.
Vos missions seront les suivantes :
Construction des scorecards
Suivi bonne exécution plan merchandising
Suivi respect plannings de tournée
Suivi des trainings
Evolution plan de visite
Le profil recherché
Vous êtes polyvalent, rigoureux(se) et vous avez un excellent relationnel ? Alors ce poste est fait pour vous. Une bonne maîtrise de POWER BI /TABLEAU.
Salaire fixe : 3000 euros + salaire variable 400 euros
Type d'emploi : Temps plein, CDI
Salaire : 3 000,00€ à 3 400,00€ par mois
Avantages :
Titre-restaurant
Horaires :
Du Lundi au Vendredi
Travail en journée
Rémunération supplémentaire :
Primes
Expérience:
Gestion de data: 1 an (Requis)
POWER BI/Tableau: 1 an (Requis)
Lieu:
Bois-d'Arcy (78) (Souhaité)"
1,Business Operations Data Analyst (H/F),OPENIP,"40 000 € - 45 000 € par an - Temps plein, CDI",,"L'entreprise
Créé en Juin 2005, OpenIP est opérateur français spécialisé dans l’art subtile de la VOIP et des Communications Unifiées pour les entreprises. OpenIP possède ses propres infrastructures Voix / Internet / Cloud et dispose d'une expertise unique des technologies SIP. OpenIP propose à plus de 1300 partenaires un catalogue de services Télécoms, IT & Cloud unique permettant d'offrir aux entreprises une approche unique associant expertise technique et accompagnement commercial de proximité. OpenIP a une stratégie de commercialisation 100% indirect.
OpenIP édite et distribue l'application MyOpenIP, une plateforme e-business qui digitalise l'ensemble du parcours client dans le cadre de la commercialisation de ses services : éligibilité, devis, commande en ligne, suivi de livraison, monitoring & paramétrage des services, ticketing et facturation.
En janvier 2020, OpenIP s'est associé au groupe belge Destiny afin de constituer un leader européen des communications unifiées et sécurisées, et ceci avec le soutien du fond d'investissement Apax France. Dans son ensemble, le groupe accompagne 25 000 entreprises et compte plus de 300 employés présents en France, en Belgique et aux Pays-Bas, pour un chiffre d'affaires consolidé de 82 millions d'euros en 2019.
Le poste
Rattaché(e) à la direction générale de l’entreprise, vous avez pour fonction d’administrer des outils liés à la relation clients, de recueillir et d’analyser les données de vente mais aussi en provenance d’autres outils.
Vous avez également pour fonction de définir et surveiller les KPI et identifier les écarts par rapport aux prévisions. Vous avez un lien fonctionnel très proche avec les équipes SI, Opérations et DAF afin d’assurer un pilotage homogène des outils de reporting et des projets SI.
Vos responsabilités :
Administrer notre CRM Zoho ainsi que notre outil d’analyse Tableau Software
Mettre en place des processus automatisés au niveau des plans de commissionnement de nos partenaires et de la force commerciale d’OpenIP
Définir et surveiller les principaux indicateurs commerciaux et économiques (KPI)
Apporter votre aide au service des ventes, à l'aide de données quantitatives et statistiques précises
Identifier des leviers de croissance à travers des analyses et établir des recommandations stratégiques pour orienter le plan d’actions commercial et marketing
Proposer des actions afin d'optimiser les process opérationnels, les performances de vente et de maximiser les profits
Assurer un rôle de Chef de projet Utilisateur (CPU) de la vision « commerce » dans les évolutions du SI d’OpenIP
Préparer les rapports périodiques pour la direction
Profil
Vos compétences :
Compétences avancées en mathématiques et statistiques
Connaissance des techniques et outils d'analyse et de traitement des données
Grande maîtrise d'Excel, Access, Power Point, JIRA
Connaissance des CRM et base de données
Excellentes capacités analytiques
Capacité d'organisation multitâches
Aptitude à la résolution des problèmes
Capacité de travailler en équipe et de manière transverse
Bonne maîtrise de l’anglais
De diplôme bac+5 d’école de commerce, ingénieur, management, gestion, finance ou universitaire. Vous possédez au moins 2 années d'expérience sur un poste similaire en B2B, vous êtes très orienté business.
La connaissance des métiers de l’IT serait un plus, notamment celle des Télécoms. Des notions de gestion de projet pourront être utiles pour l’intégration de nos processus. La maîtrise de Tableau Software et de Power BI serait un plus.
Type d'emploi : Temps plein, CDI
Salaire : 40 000,00€ à 45 000,00€ par an
Avantages :
Épargne Salariale
Horaires Flexibles
Participation au Transport
RTT
Titre-restaurant
Travail à Distance
Horaires :
Du Lundi au Vendredi
Périodes de Travail de 8 Heures
Travail en journée
Rémunération supplémentaire :
Primes
Expérience:
sales data analyst (h/f) ou similaire: 2 ans (Requis)
Formation:
Bac +5 (Master / MBA) (Requis)
Lieu:
92110 Clichy (Requis)
Langue:
Anglais (Requis)"
2,Data Base Analyst H/F,Photo-Me France,"Temps plein, CDI",,"Qui sommes-nous ?
L’INNOVATION, UN ÉTAT D’ESPRIT
Photo-Me France est une holding du groupe Photo-Me® International Plc. Photo-Me® International Plc, basé près de Londres, est renommé pour son expertise dans l’industrie de la distribution automatique. Avec 47 000 machines de distribution dans 18 pays (principalement en France, au Royaume Uni et au Japon) et 28 000 cabines photographiques, Photo-Me® est le leader mondial de l’exploitation de cabines photographiques. Photo-Me® exploite une gamme variée d’équipements de distribution, tels que des kiosques d’impression photo et des manèges pour enfants, dans les emplacements les plus convoités du monde. Se donnant pour mission d’offrir plus de services à ses clients, Photo-Me® a mis en œuvre une stratégie de diversiﬁcation dans de nouveaux secteurs tels que les laveries automatiques.
PROFIL RECHERCHE :
De formation technique BAC+2 mini, nous recherchons une personne ayant une connaissance globale de l‘informatique orientée données et système :
Très bonne connaissance SQL (MySQL, SQLServer, Oracle),
Savoir manipuler des fichiers Text
Grande maîtrise des outils Excel et Access
Une connaissance dans les langages de programmation Windev ou PHP serait un plus
DESCRIPTIF DU POSTE
Sous la responsabilité du Directeur Financier du Groupe, vous serez en charge de la création des reporting du groupe (ponctuels et réguliers). Vous traiterez des données statistiques, financières et business.
Vos missions (liste non exhaustive) :
Conception de tableaux de bord pour suivre les KPI : définition d'indicateurs clés, analyse de leur évolution, consolidation des risques
Produire des reportings réguliers (quotidien/ hebdomadaires/ mensuels) et proposer des analyses quantitatives/qualitatives
Garantie de la qualité de la donnée
Exploitation et analyse des données
Réactif et autonome, vous justifiez d’une expérience de 5 années sur un poste de Data Base Analyst.
Les échanges écrits et oraux en anglais seront quotidiens.
Statut : Cadre
Type d'emploi : Temps plein, CDI
Avantages :
Participation au Transport
Titre-restaurant
Horaires :
Travail en journée
Langue:
Anglais (Requis)
Télétravail:
Non"
3,Data Analyst (F/H),Novencia,,,"Contexte
Data is fuel ! Quelle que soit la façon dont elle est structurée, la data n’est plus l’apanage des SI… mais bien au cœur des activités et des Métiers. Aujourd’hui, de nombreuses entreprises ont besoin d’être accompagnées dans la gestion de leurs données afin de s’en servir à bon escient. La manipulation de la data est devenue une équation à plusieurs inconnues où Objectif = (Technique X Data) + (Outil X Data) … Vous l’aurez compris, pour résoudre l’équation, il devient urgent pour les organisations d’être conseillées par des spécialistes des données numériques.
Data Analyst depuis 3 ans, vous êtes à la recherche de nouveaux défis. Bouclez votre ceinture, la suite est pour vous !
Compétences
AYANT LES COMPÉTENCES EN
DataViz Python R SAS SQL Statistiques
Profil
Carnet de route
Nos 35 référencements et bien d’autres à venir offrent un large champ de possibles !
Évidemment, nous privilégions les environnements innovants et donc organisés autour de méthodologies Agile.
Quelques exemples de missions :
DataVisualisation : Création de dashboards interactifs pour suivre le parcours patient au sein d’un établissement de santé (Santé)
Création d’un outil d’aide à la décision pour l’évaluation du risque des aéronefs (Sécurité aérienne)
Mise en œuvre des outils de lutte contre la fraude pour les activités de BFI (Finance de marché)
Analyses du comportement client à des fins d’optimisation des opérations commerciales (Marketing opérationnel)
Votre rôle
Contrôler la qualité des données, détecter des patterns, des outliers
Mettre en place des segmentations client
Concevoir les datamarts
Proposer et mettre en pratique les modèles statistiques (régressions…) adaptés pour résoudre les problématiques métier
Collaborer avec les équipes technique et métier pour définir les besoins et expliciter les résultats
Restituer les résultats (rapports, présentations…)
À vous de choisir. Chez NOVENCIA, chaque consultant a le choix de sa mission et décide de la façon dont il souhaite évoluer.
De la technique et de la personnalité
Explorateur : part à la recherche de données sur des terres inconnues
Caricaturiste : reformule, vulgarise, schématise
Fin limier : trouve les meilleures solutions
Curieux : ne passe pas à côté d’une information essentielle
Sportif : aime relever des challenges en équipe
Voyant : prédit le comportement client
Calculateur : aime les chiffres
Jongleur : SAS / R / Python
Bilingue : passe aisément du français au langage statistique
Avancer en équipe
NOVENCIA, c’est avant tout un projet collectif.
Validation par un pair. Après les formules d’usage du premier entretien, vous rencontrez un de nos consultants lors d’un second échange pour qu’il puisse appréhender votre niveau technique et vous en dire plus sur l’écosystème de NOVENCIA. (C’est souvent là que tout bascule…).
Partage d’expérience. NOVENCIA compte 7 communautés : Partners – Finance/ Prodigi – Agile / Craft / ActiveViam / UX@Scale / Data / GDPR, dont le fonctionnement est indépendant. Dotées de leur propre budget, elles sont libres de récolter et diffuser des informations. L’objectif : encourager la veille technique et l’évolution professionnelle.
Expertise. Meet-up, webinar, articles, vidéos…Au-delà d’un objectif purement professionnel, technique ou fonctionnel, NOVENCIA vous donne la possibilité de vous exprimer. Environ 80 événements annuels sont organisés. Autant d’occasions pour un collaborateur de se dépasser. Crédibilité et notoriété du parcours sont donc au rendez-vous !
Formation sur mesure. NOVENCIA possède son propre centre de formation. Technique ou fonctionnelle, les formations proposées sont, pour la plupart, certifiantes.
Suivi personnalisé. Qu’elle soit personnelle ou professionnelle, votre évolution est notre priorité. C’est pourquoi nous avons créé les Instants RH et Objectifs Carrière. Vous l’avez compris, chez NOVENCIA on ne lâche rien !
Notre objectif commun : co-construire votre carrière en fonction de vos aspirations et de vos compétences.

S’engager en faveur du handicap c’est garantir l’égalité des chances dès le recrutement.
À compétences égales, nos postes sont ouverts aux personnes en situation de handicap."
4,Data Analyst - Dataviz Power BI (IT),Amontech,45 000 € par an,,"Le Data Analyst interviendra sur la partie Observatoires, pour mettre à disposition des visions enrichies du marché, des tendances pour aider la prise de décisions et favoriser les initiatives sur les axes stratégiques majeurs, grâce à une meilleure autonomie dans la consommation de data.

Soft skills :
Forte sensibilité à l’UX, au design
Sens de l’initiative et du résultat
Capacité de travail en équipe et co-création
Bon communicant à l’écrit et à l’oral
Une expérience chef de projet digital

Connaissances techniques :
Sensible et informé des évolutions technologiques sur les piles logicielles pratiquées
bonne connaissance générale des logiques décisionnelles
environnements et outils Azure (Synapse, SSAS) et de Google Cloud Platform (BigQuery)
Outils de requêtage : SQL
Delivery : Git
Viz : maîtrise de PowerBI. Data Studio serait un plus.

Contexte de la mission :
Au sein du département Sales Performance de notre client, l’équipe DATAonDEMAND met de la science dans l’art des pratiques business, dans un contexte où il est nécessaire de s’adapter à des outils DATA en constante évolution, apprendre des best in class et saisir les opportunités data en terme d’innovation.
Cette équipe agile by design est composée d’experts du métier des paiements et de la data.
Le Data Analyst interviendra sur la partie Observatoires, pour mettre à disposition des visions enrichies du marché, des tendances pour aider la prise de décisions et favoriser les initiatives sur les axes stratégiques majeurs, grâce à une meilleure autonomie dans la consommation de data.

Objectifs de la mission :
Le Data Analyst interviendra sur la partie Observatoires, pour mettre à disposition des visions enrichies du marché, des tendances pour aider la prise de décisions et favoriser les initiatives sur les axes stratégiques majeurs, grâce à une meilleure autonomie dans la consommation de data.

S’approprier les Observatoires existants
Comprendre et mettre en lumière les KPI des Observatoires : refontes design et graphiques
Explorer les données, développer et documenter dans le respect des règles d’architecture définies
Elaborer et automatiser les traitements
Former et accompagner les utilisateurs."
5,Data Analyst (F/H),Novencia,,,"Contexte
Data is fuel ! Quelle que soit la façon dont elle est structurée, la data n’est plus l’apanage des SI… mais bien au cœur des activités et des Métiers. Aujourd’hui, de nombreuses entreprises ont besoin d’être accompagnées dans la gestion de leurs données afin de s’en servir à bon escient. La manipulation de la data est devenue une équation à plusieurs inconnues où Objectif = (Technique X Data) + (Outil X Data) … Vous l’aurez compris, pour résoudre l’équation, il devient urgent pour les organisations d’être conseillées par des spécialistes des données numériques.
Data Analyst depuis 3 ans, vous êtes à la recherche de nouveaux défis. Bouclez votre ceinture, la suite est pour vous !
Compétences
AYANT LES COMPÉTENCES EN
DataViz Python R SAS SQL Statistiques
Profil
Carnet de route
Nos 35 référencements et bien d’autres à venir offrent un large champ de possibles !
Évidemment, nous privilégions les environnements innovants et donc organisés autour de méthodologies Agile.
Quelques exemples de missions :
DataVisualisation : Création de dashboards interactifs pour suivre le parcours patient au sein d’un établissement de santé (Santé)
Création d’un outil d’aide à la décision pour l’évaluation du risque des aéronefs (Sécurité aérienne)
Mise en œuvre des outils de lutte contre la fraude pour les activités de BFI (Finance de marché)
Analyses du comportement client à des fins d’optimisation des opérations commerciales (Marketing opérationnel)
Votre rôle
Contrôler la qualité des données, détecter des patterns, des outliers
Mettre en place des segmentations client
Concevoir les datamarts
Proposer et mettre en pratique les modèles statistiques (régressions…) adaptés pour résoudre les problématiques métier
Collaborer avec les équipes technique et métier pour définir les besoins et expliciter les résultats
Restituer les résultats (rapports, présentations…)
À vous de choisir. Chez NOVENCIA, chaque consultant a le choix de sa mission et décide de la façon dont il souhaite évoluer.
De la technique et de la personnalité
Explorateur : part à la recherche de données sur des terres inconnues
Caricaturiste : reformule, vulgarise, schématise
Fin limier : trouve les meilleures solutions
Curieux : ne passe pas à côté d’une information essentielle
Sportif : aime relever des challenges en équipe
Voyant : prédit le comportement client
Calculateur : aime les chiffres
Jongleur : SAS / R / Python
Bilingue : passe aisément du français au langage statistique
Avancer en équipe
NOVENCIA, c’est avant tout un projet collectif.
Validation par un pair. Après les formules d’usage du premier entretien, vous rencontrez un de nos consultants lors d’un second échange pour qu’il puisse appréhender votre niveau technique et vous en dire plus sur l’écosystème de NOVENCIA. (C’est souvent là que tout bascule…).
Partage d’expérience. NOVENCIA compte 7 communautés : Partners – Finance/ Prodigi – Agile / Craft / ActiveViam / UX@Scale / Data / GDPR, dont le fonctionnement est indépendant. Dotées de leur propre budget, elles sont libres de récolter et diffuser des informations. L’objectif : encourager la veille technique et l’évolution professionnelle.
Expertise. Meet-up, webinar, articles, vidéos…Au-delà d’un objectif purement professionnel, technique ou fonctionnel, NOVENCIA vous donne la possibilité de vous exprimer. Environ 80 événements annuels sont organisés. Autant d’occasions pour un collaborateur de se dépasser. Crédibilité et notoriété du parcours sont donc au rendez-vous !
Formation sur mesure. NOVENCIA possède son propre centre de formation. Technique ou fonctionnelle, les formations proposées sont, pour la plupart, certifiantes.
Suivi personnalisé. Qu’elle soit personnelle ou professionnelle, votre évolution est notre priorité. C’est pourquoi nous avons créé les Instants RH et Objectifs Carrière. Vous l’avez compris, chez NOVENCIA on ne lâche rien !
Notre objectif commun : co-construire votre carrière en fonction de vos aspirations et de vos compétences.

S’engager en faveur du handicap c’est garantir l’égalité des chances dès le recrutement.
À compétences égales, nos postes sont ouverts aux personnes en situation de handicap."
6,Data Analyst - Dataviz Power BI (IT),Amontech,45 000 € par an,,"Le Data Analyst interviendra sur la partie Observatoires, pour mettre à disposition des visions enrichies du marché, des tendances pour aider la prise de décisions et favoriser les initiatives sur les axes stratégiques majeurs, grâce à une meilleure autonomie dans la consommation de data.

Soft skills :
Forte sensibilité à l’UX, au design
Sens de l’initiative et du résultat
Capacité de travail en équipe et co-création
Bon communicant à l’écrit et à l’oral
Une expérience chef de projet digital

Connaissances techniques :
Sensible et informé des évolutions technologiques sur les piles logicielles pratiquées
bonne connaissance générale des logiques décisionnelles
environnements et outils Azure (Synapse, SSAS) et de Google Cloud Platform (BigQuery)
Outils de requêtage : SQL
Delivery : Git
Viz : maîtrise de PowerBI. Data Studio serait un plus.

Contexte de la mission :
Au sein du département Sales Performance de notre client, l’équipe DATAonDEMAND met de la science dans l’art des pratiques business, dans un contexte où il est nécessaire de s’adapter à des outils DATA en constante évolution, apprendre des best in class et saisir les opportunités data en terme d’innovation.
Cette équipe agile by design est composée d’experts du métier des paiements et de la data.
Le Data Analyst interviendra sur la partie Observatoires, pour mettre à disposition des visions enrichies du marché, des tendances pour aider la prise de décisions et favoriser les initiatives sur les axes stratégiques majeurs, grâce à une meilleure autonomie dans la consommation de data.

Objectifs de la mission :
Le Data Analyst interviendra sur la partie Observatoires, pour mettre à disposition des visions enrichies du marché, des tendances pour aider la prise de décisions et favoriser les initiatives sur les axes stratégiques majeurs, grâce à une meilleure autonomie dans la consommation de data.

S’approprier les Observatoires existants
Comprendre et mettre en lumière les KPI des Observatoires : refontes design et graphiques
Explorer les données, développer et documenter dans le respect des règles d’architecture définies
Elaborer et automatiser les traitements
Former et accompagner les utilisateurs."
7,Data analyst - ( R ou Python) Lyon (IT),NODYA,,,"Démarrage MARS

Profil : Data analyst
Profil BAC + 5 de type ingénieur ou master, avec une spécialité en data science

Participation à des ateliers avec des experts métiers pour le cadrage et le suivi des études
Réalisation d’études statistiques répondant à des problématiques métier, en développant des scripts R ou Python
Présentation de résultats sous la forme de rapports d’étude ou de tableaux de bord
Développement d’outils de visualisation de données pour faciliter les analyses (à destination de lui-même, des PO/développeurs de l’équipe, voire des utilisateurs métier destinataires du POC)
Documentation des études et développements
Participation aux cérémonies d’équipe

Compétences requises :
Maîtrise d’un outil de traitement de données (R ou python)
Capacité d’extraire des données de n’importe quelle source en utilisant les outils adaptés :
SQL pour des bases relationnelles
Des packages R ou Python pour des fichiers au format JSON ou XML par ex, etc.
Maîtrise sur les méthodes de traitement de données (data management):
Consolidation d’informations issues de sources hétérogènes
Utilisation de l’ensemble de package R tidyverse, notamment de dplyr (ou équivalent en
python)
Méthodes de mise en qualité des données
Maîtrise des outils de visualisation de données disponibles dans l’environnement R :
ggplot2, shiny, leaflet, etc. (ou équivalent en python)"
8,Business / Data Analyst - Secteur de l'Automobile,Eyetech Solutions,50 000 € - 65 000 € par an - CDI,,"Business / Data Analyst - Secteur de l'Automobile Pour notre partenaire, une start-up en pleine expansion, nous sommes actuellement à la recherche d'un Business / Data Analyst.
Business / Data Analyst - La Société : Cette société spécialisée dans le secteur de la mobilité aide les acteurs de l'écosystème automobile à diriger des analyses pointues ainsi que des actions marketing et commerciales. À l'heure où l'innovation numérique s'impose comme la clé de la réussite en entreprise, le secteur automobile peut aujourd'hui saisir une opportunité de taille. En proposant des véhicules connectés et des services de mobilité, les acteurs de ce secteur pourraient voir leur chiffre d'affaires augmenter de manière exponentielle au cours des dix prochaines années.
Business / Data Analyst - La position :
Aujourd'hui cette société recherche un Business / Data Analyst afin de venir conseiller stratégiquement le CTO.
Votre mission au quotidien sera de garantir la qualité de la donnée et normaliser celle-ci. Vous recueillez les besoins métiers et clients et les traduirez en besoins opérationnels.
En saisissant cette opportunité, vous participez au développement de l'architecture de leur nouvelle plate-forme.
Cette société évoluant rapidement, le poste proposé est évolutif vers un rôle de Head of Data / Chief Data Officer.

Business / Data Analyst - Le profil :
Vous avez un Bachelor / Master Degree en Informatique ou Ingénieurie
Vous avez 2 ans d'expérience en tant que Business / Data Analyst
Vous êtes quelqu'un d'autonome / proactif avec un esprit entrepreneur.

Business / Data Analyst - L'offre :
Salaire annuel jusqu'à 65.000 € (en fonction de votre expérience)
Evoluez vers un poste de Head of Analytics / Chief Data Officer
Rejoignez une équipe Tech. dynamique dans une structure en pleine croissance
Keywords: Data Analysis, Data Engineering, Data Science, Data Scientist, Ingénieur Data, Business, Business Analysis, Business Analytics, Big Data, Data Analytics, Power BI, Tableau, Data Visualzation, Data Analyst, SAP BW, Data Warehouse, Datalake, BI, Data Specialist, Machine Learning, Deep Learning, Panda, Numpy, Scikit, Python, R, Elasticsearch, Scala, Java, Azure, DataOps, Hadoop, AWS, ETL, SQL, Spark, GCP, Google Cloud"
9,Architecte technique - Data Analyst-(H/F),Société Générale,"Apprentissage, Contrat pro",,"Vos missions au quotidien
Vous savez « faire parler » les données pour créer de la valeur ? Vous comprenez les problèmes et enjeux métiers et êtes capables de modéliser plusieurs approches pour y répondre ?

Rejoignez-nous ! En tant que Data Analyst, vous transformez les données brutes en outils d’aide à la décision.

Concrètement, vous serez amené(e) à :
Faire un état des lieux des outils de monitoring au sein de la Société Générale (Prometheus/Grafana, Cockpit …),
Compléter le socle de transport des métriques (Confluent, NIFI, nagios, syslog, …),
Définir les spécifications techniques des outillages de requêtage (scripts Python à intégrer dans des traitements apache NIFI, Apache Druid, Reshift, Spark, …),
Définir les spécifications techniques des outils de reporting (Appdynamics, Splunk, Grafana, Kibana, …),
Réaliser les reportings,
Versionner, documenter les différents travaux,
Etudier la capacité d’intégrer des modules prédictifs.

Vous serez en relation avec des Responsables d’Architecture, d'experts référents de différents domaines, les maîtrises d’oeuvre (CDS), les responsables de projet, les exploitants, en France et à l'international avec les Prestataires de Services Informatiques et les Editeurs
Et si c’était vous ?
Vous préparez un Bac+4/5 avec une spécialisation en Informatique.
Vous êtes autonome, responsable et pragmatique ?
You’re fluent in english ? Vous êtes le candidat idéal !


Plus qu’un poste, un tremplin
Dès votre arrivée, vous serez intégré(e) dans nos équipes et apprendrez chaque jour aux côtés de nos experts qui vous accompagneront dans vos missions. Progressivement, vous gagnerez en autonomie sur vos projets pour faire de cette expérience un vrai accélérateur de carrière. Vous découvrirez également toute la diversité de nos métiers, dans un secteur qui évolue et innove en permanence.

A la fin de vos études, diverses opportunités pourront s’offrir à vous, en France et à l’international.
Pourquoi nous choisir ?
Chez Société Générale, nous sommes convaincus que les personnes sont moteurs du changement, et que le monde de demain sera fait de toutes leurs initiatives, des plus petites aux plus ambitieuses.


Que vous nous rejoigniez pour quelques mois, quelques années ou toute votre carrière, ensemble nous avons les moyens d’avoir un impact positif sur l’avenir. Créer, oser, innover, entreprendre font partie de notre ADN.


Si vous aussi vous souhaitez être dans l’action, évoluer dans un environnement stimulant et bienveillant, vous sentir utile au quotidien et développer ou renforcer votre expertise, nous sommes faits pour nous rencontrer !


Vous hésitez encore ?


Sachez que nos collaborateurs peuvent s’engager quelques jours par an pour des actions de solidarité sur leur temps de travail : parrainer des personnes en difficulté dans leur orientation ou leur insertion professionnelle, participer à l’éducation financière de jeunes en apprentissage ou encore partager leurs compétences avec une association. Les formats d’engagement sont multiples.
Nous sommes un employeur garantissant l'égalité des chances et nous sommes fiers de faire de la diversité une force pour notre entreprise. Le groupe s’engage à reconnaître et à promouvoir tous les talents, quels que soient leurs croyances, âge, handicap, parentalité, origine ethnique, nationalité, identité sexuelle ou de genre, orientation sexuelle, appartenance à une organisation politique, religieuse, syndicale ou à une minorité, ou toute autre caractéristique qui pourrait faire l’objet d’une discrimination.
Référence: 210000CK
Entité: Banque de détail France
Date de début: immediat
Date de publication: 06/01/2021"
