,intitule,nomCompteEtablissement,idNomTypeContrat,idNomNiveauExperience,texteHtmlProfil,texteHtmlEntreprise,texteHtml,salaireTexte
0,Data Analyst F/H,FED IT,101888,597152,"<p>Issu d'une formation relative à l'analyse de données statistiques, vous justifiez de 2 ans min d'expérience tant que Data Analyst.<br /><br />Vous avez une bonne maitrise du logiciel statistique SAS et avez une appétence pour la dataviz.<br />La connaissance des logiciels Tableau Software et/ou Qlik Sense, serait un plus considérable.<br /><br />Il s'agit d'une opportunité de rejoindre une société avec un excellent cadre de travail, qui vous permettra de vous épanouir aussi bien sur le plan technique que sur le plan humain.</p>","<p>Camille Bernard, consultante chez Fed IT, cabinet de recrutement spécialisé, recherche pour son client, agence de marketing spécialisée dans la valorisation de données, son ou sa prochain(e) Data Analyst (F/H).<br /><br />Au sein de la DSI, vous intégrez l'équipe Data et participez à l'optimisation des solutions marketing de l'agence en exploitant et en traitant les données concernées.</p>","<p><strong>A ce titre, vos missions sont les suivantes ;</strong><br /><br />- Donner du sens et de la valeur aux données de l'entreprise,<br /><br />- Exploiter l'ensemble des données, analyser les données pour en extraire des connaissances utiles à l'optimisation des offres et services de l'entreprise,<br /><br />- Être référent sur les outils mis à disposition des opérationnels et proposer les améliorations nécessaires,<br /><br />- Mettre en application les campagnes marketing des clients de l'entreprise.</p>",38 - 45 k€ brut annuel
1,Data Analyst F/H,KERISTO,101888,597151,"<p>Vous êtes de formation supérieure (BAC+5) en informatique avec une première expérience sur un poste similaire. </p><p>Vous maitrisez les technologies Spark/PySpark, Python, SQL.</p><p>Vous êtes autonome, curieux, rigoureux(se) et doté(e) d'un bon relationnel. Vous possédez un vrai goût pour l'analyse de données et la recherche permanente de l'innovation.</p>","<p>Keristo est une jeune société de conseil avec pour coeur de métier : ""l'ingénierie des solutions techniques et organisationnelles"". Le client est au centre de notre organisation et de nos objectifs en apportant l'exigeante mise en application de nos compétences techniques et transverses dans la réalisation des projets qui nous sont confiés.</p><p>Basé à Valence et à Grenoble, nous intervenons principalement en Rhône Alpes.</p><p>Jeune structure dynamique, nous poursuivons notre développement, agile et déterminée à grandir avec pour ""invariant"" la prise en compte de nos sensibilités et particularités personnelles.<br />Nous sommes attachés au développement technique et métier de nos collaborateurs et portons l'accent sur les compétences leur permettant de valoriser leur parcours sans oublier les qualités personnelles et inter-personnelles indispensables à l'exercice de notre métier.<br /><br /> </p>","<p>En tant que Data Analyst, vos missions sont les suivantes :</p><p>- Développement d’études Data en mode distribué/Big Data </p><p>- Conception, gestion et exploitation de bases de données </p><p>- Analyse des données massives</p><p>- Evolution des outils</p>",A négocier
2,Data Analyst F/H,KERISTO,101888,597151,"<p>Vous êtes de formation supérieure (BAC+5) en informatique avec une première expérience sur un poste similaire. </p><p>Vous maitrisez les technologies Spark/PySpark, Python, SQL.</p><p>Vous êtes autonome, curieux, rigoureux(se) et doté(e) d'un bon relationnel. Vous possédez un vrai goût pour l'analyse de données et la recherche permanente de l'innovation.</p>","<p>Keristo est une jeune société de conseil avec pour coeur de métier : ""l'ingénierie des solutions techniques et organisationnelles"". Le client est au centre de notre organisation et de nos objectifs en apportant l'exigeante mise en application de nos compétences techniques et transverses dans la réalisation des projets qui nous sont confiés.</p><p>Basé à Valence et à Grenoble, nous intervenons principalement en Rhône Alpes.</p><p>Jeune structure dynamique, nous poursuivons notre développement, agile et déterminée à grandir avec pour ""invariant"" la prise en compte de nos sensibilités et particularités personnelles.<br />Nous sommes attachés au développement technique et métier de nos collaborateurs et portons l'accent sur les compétences leur permettant de valoriser leur parcours sans oublier les qualités personnelles et inter-personnelles indispensables à l'exercice de notre métier.<br /><br /> </p>","<p>En tant que Data Analyst, vos missions sont les suivantes :</p><p>- Développement d’études Data en mode distribué/Big Data </p><p>- Conception, gestion et exploitation de bases de données </p><p>- Analyse des données massives</p><p>- Evolution des outils</p>",A négocier
3,Data Analyst F/H,UNLCK,101888,597152,"<p><strong>Profil</strong></p><p>Vous êtes diplômé d’un cursus bac+5 (Ecole d’ingénieur ou Master)</p><p>Vous avez au moins 2 ans d’XP sur des responsabilités similaires</p><p>Vous avez d’excellentes compétences orientée Data (Python, SQL, PostgreSQL, bases No SQL)</p><p>Vous avez de bonnes notions en mathématiques, algorithmes et modélisation de données</p><p><strong>Avantages</strong></p><p>Entreprise résolument Tech avec un important challenge technique</p><p>Société + technologie + équipe technique particulièrement reconnus sur le marché</p><p>Locaux dans le centre de Paris</p><p>Equipe dynamique & perspectives d’évolutions</p>","<p>Acteur indépendant du recrutement tech, UNLCK est un cabinet spécialisé dans l’embauche de développeurs par approche directe.<br />Nous accompagnons les principaux acteurs du numérique dans leurs besoins en recrutement et leurs enjeux de développement. Nous collaborons aussi bien avec des clients de type grands comptes qu’avec des structures à tailles humaines (startups, éditeurs de logiciels) et ce, dans une multitude de secteurs d’activités : e-commerce, audiovisuel, santé, énergie, jeux-vidéos, finance, etc.</p>","<p><strong>Contexte</strong></p><p>Vous êtes Data Analyst, vous cumulez au moins deux ans d’expérience professionnelle et vous recherchez une nouvelle aventure Data ?</p><p>Rejoignez cette startup française en place depuis 5 ans et spécialisée dans la récolte et l’analyse de dédiée aux comportements des consommateurs. Leurs clients se composent, entre autres, de prestigieuses société de E-Commerce et leur technologie continue d’évoluer à vitesse grand V !</p><p>Afin d’accélérer le développement et le déploiement de leur produit, ils souhaitent élargir l’équipe tech en recrutant un Data Analyst expérimenté en CDI.</p><p><strong>Responsabilités</strong></p><p>Au sein de l’équipe tech – qui compose aujourd’hui 5 développeurs – et sous la responsabilité du CTO, vous serez en charge de :</p><p>L’assainissement et l’exploitation des données à travers de multiples canaux d’acquisitions</p><p>Participer aux réflexions sur le stockage et la disponibilités de la Data</p><p>Faire évoluer l’infrastructure en place</p><p>Normer les procédures</p><p>Faire le lien avec les différents métiers de l’entreprise</p><p><strong>Stack : </strong>Python, Ruby, RoR, PostgreSQL, AWS, Snowflake</p>",40 - 50 k€ brut annuel
4,Data analyst F/H,LV TECHNOLOGIES,101888,597152,"<p>-       De formation Bac +2/5 BTS ou DUT, université dans le domaine de la Data ou des statistiques.</p><p>-       Un anglais Technique est requis.</p><p>-       Vous avez une excellente maîtrise de SQL et des environnements d’entrepôts de données et des fonctions avancées et complexes d’Excel.</p><p>-       Vous savez utiliser les logiciels de visualisation de données (type Power BI).</p><p>-       Vous êtes en mesure d’anticiper et d’alerter afin de vous adapter au gré des problématiques qui vous sont confiées.</p><p>-       Le télétravail est possible sur ce poste</p>","<p>Nous recrutons pour le compte de notre client, un éditeur de logiciels en ingénierie électrique un Data Analyst H/F basé au Havre avec possibilité de télétravail.</p>","<p>Vous serez rattaché/e au chief data officer, et vous travaillerez en collaboration avec la DSI et l’ensemble des directions métiers et supports.</p><p>Vous serez en charge du management des équipes data et dans le cadre de ses missions il devra donc effectuer les missions suivantes :</p><p>Vous contribuez au côté de la DSI et du CDO (chief data officer) à la définition et à l’architecture d’un Datawarehouse,</p><p>Vous pilotez l’outil de Data visualisation et ses évolutions, (migration progressive des reporting existants, conception et standardisation de nouveaux reporting dans le cadre d’appels d’offres et/ou de besoins de clients internes…),</p><p>Vous mettez en place des contrôles automatisés pour repérer les problématiques de qualité de données,</p><p>Vous accompagnez les Directions à synthétiser les problématiques rencontrées et à mettre en place des plans d’actions correctifs afin de les rendre autonome progressivement dans la réalisation des reporting,</p><p>Vous simplifiez la gestion des données afin de disposer d’informations homogènes,</p><p> </p><p>Vous participez aux projets d’amélioration d’outils et process liés à la data au sein de la Direction Financière, (recueil du besoin, développement d’outils ou interfaces appropriés avec la MOE interne ou externe, recettage, élaboration des supports et formations auprès des utilisateurs).</p>",40 - 42 k€ brut annuel
5,Data Analyst F/H,MOBIAPPS,101888,597152,"<ul><li>Diplômé(e) d’un Bac +5 en informatique ou école d’Ingénieurs</li><li>2 ans d’expérience minimum sur un poste de Data Analyst</li><li>Curieux(se) et passionné(e) par la data, vous aimez traduire la donnée en information et comprendre les enjeux business qui en découlent</li><li>La maitrise de l’anglais serait un plus !</li></ul><p> </p><p><strong>Compétences métiers/techniques :</strong></p><ul><li>Maitrise d'au moins un langage de requêtage de base de données</li><li>Capacité à réaliser des analyses statistiques et prédictives à partir de différentes bases de données</li><li>Spécialiste des données, vous avez de bonnes connaissances des technologies dédiées au traitement de la donnée (SQL, SAS, R, VBA, Python...) et une parfaite maîtrise de l'analyse des données.</li><li>Une connaissance d'un logiciel dédié à la Data Visualization (Tableau, Qliksense, Qlickview, Power BI…) ainsi que des compétences en automatisation (VBA par exemple) est appréciée.</li></ul><p> </p><p><strong>Compétences relationnelles :</strong></p><ul><li>Capacité rédactionnelle</li><li>Esprit d'analyse et de synthèse, rigueur, aisance dans la réflexion conceptuelle</li><li>Votre capacité d'écoute et votre goût du travail en équipe vous permettront d'être focalisé(e) sur la satisfaction de vos interlocuteurs</li><li>Excellent relationnel</li><li>Travail en équipe</li></ul><p> </p><p><strong>Pourquoi nous rejoindre ?</strong></p><ul><li>Une équipe dynamique, à taille humaine et dans une ambiance start-up</li><li>Des postes évolutifs et des managers à l'écoute</li><li>Des évènements internes organisés pour parler tech, business, projets, mais aussi de vous et de nous !</li></ul><p> </p><p><strong>La Data Factory c’est aussi :</strong></p><ul><li>Faire partie d’une communauté de technophiles qui souhaitent partager leurs connaissances/compétences via des événements internes et externes</li><li>Des formations certifiantes adaptées et réfléchies pour vous permettre d’évoluer au sein de votre métier</li><li>Un suivi personnalisé et un plan de carrière défini en cohérence avec vos aspirations et votre projet professionnel</li></ul>","<p>Fondée en 2014, Mobiapps est une ESN qui souhaite poursuivre son développement aux côtés de ses clients dans leur Digital Expérience en 2021. Nos consultants les accompagnent dans l’expression de leurs besoins digitaux afin de concevoir, de développer, d’analyser et de déployer des solutions digitales.</p><p>Parce que des utilisateurs, ça se comprend ! Avec la Creative Factory, nos consultants optimisent l’expérience utilisateur des applications et interviennent sur différents domaines d'expertises : conseil, stratégie, formations, UX, UI, coaching…</p><p>Développer c’est bien, Digital Factory c’est mieux ! Notre équipe propose son expertise sur l'ensemble des phases du cycle de vie d'un projet digital. Nos domaines de compétences sont variés autour des domaines de la Data Factory (Big Data, Data Scientist, BI et Data Visualisation…), des solutions back-end, front mobile et web, dans un contexte d'industrialisation et des méthodologies agiles. </p><p>Et si on rendait votre mobilité plus sécurisée ? Les consultants de la Digital Workspace à travers le conseil, l’intégration, la conduite du changement et le support de solutions unifiées UEM accompagnent nos clients à s’adapter aux nouveaux usages mobiles pour mieux gérer et sécuriser leur infrastructure en mobilité. </p><p>Fiers de notre esprit Start-up, notre équipe compte plus de 120 consultants répartis entre Paris, Nantes et Angers. Nous avons pour ambition d’atteindre les 160 collaborateurs d’ici fin 2021.</p>","<p>Notre Data Factory a vocation d’accompagner nos clients dans la valorisation de l’intégralité de leur patrimoine Data. Centrée sur la maitrise de toute la chaine de valeur nous intervenons sur des domaines d’expertises complémentaires : BI, Big Data et Data Science.</p><p>Rattaché(e) au centre opérationnel Digital Factory au sein de l’équipe Data Factory/Data Analyst, vous interviendrez chez nos clients et les accompagnerez dans l’analyse et la compréhension de leurs données.</p><p> </p><p><strong>Vos principales missions seront de :</strong></p><ul><li>Collecter, traiter et transformer les données en informations exploitables </li><li>Animer des ateliers avec les métiers</li><li>Modéliser les bases de données</li><li>Prendre en charge des sujets autour de la qualité des données</li><li>Représenter les résultats dans un outil de restitution visuelle de façon ergonomique et intuitive</li><li>Réaliser des indicateurs de mesure de la performance pour solutionner les questions stratégiques<br /> </li></ul>",A négocier
6,Data Analyst F/H,ALTAGILE,101888,597151,"<p>De formation supérieure (Bac+5 ou plus) avec une spécialisation en Parcours informatique orienté data/ Statistiques/ analyste de données,...Vous faites preuve d'une : <br />    </p><p>    <br />_  Maîtrise parfaite de l'utilisation de l'un de  ces langages (R, Python) <br />_  Connaissances en VBA <br />_  Maîtrise de l'un des outils de Data visualisation  (Tableau, QlikView, PowerBI, etc) (+1)<br />_  Connaissances SQL, Excel (optionnel)<br />_  Maîtrise de l'anglais (oral et écrit)</p><p><br />Vous êtes également reconnu(e) pour votre : </p><p>    <br />_  Bonnes capacités analytiques<br />_  Autonomie et rigueur<br />_  Curiosité et capacité à être force de proposition<br />_  Fort rédactionnel <br />_  Adaptabilité et fort relationnel </p><p><br />Les plus :<br /> <br />    <br />_  Une expérience dans une entreprise de télécommunication<br />_  Double connaissance de l'écosystème IT & Télécom</p>","<p>Fondé en 1991, le groupe Iliad est également connu sous la marque commerciale Free. Depuis plus de 15 ans, ce groupe technologique basé à Paris, s'attèle à offrir les plus grandes innovations télécom du marché.</p>","<p>Notre équipe<br />Nous accompagnons nos interlocuteurs dans la construction et la modélisation de leurs besoins en matière de données analytiques. Riche en activité, nous proposons notre savoir-faire en BI, gestion base de données, analyse, statistique, développement et machine Learning à travers la valeur ajoutée de nos divers reporting et application.<br />En tant que Data Analyst, vous avez pour missions principales de : </p><p>    <br />_  Participer à l'enrichissement de l'entrepôt de données à travers l'identification des données manquantes.<br />_  Contribuer au prétraitement et à la qualification des données pour les besoins statistiques ou analytiques<br />_  Garantir la bonne cohérence, la fraicheur, et la disponibilité des données<br />_  Recueil des besoins et définition des spécifications<br />_  Concevoir et industrialiser les rapports, représenter visuellement les données et mettre en valeur les indicateurs clés sur notre outil BI. (+1)<br />_  Comprendre le modèle de données analytiques et maîtriser les volumes et les vélocités de nos métadonnées.<br />_  Développer, améliorer et évaluer les algorithmes de traitement de données, d'exploitation et de prédiction.<br />_  Maîtriser les différents modèles d'apprentissage (supervise, non supervisé, semi-supervisé (+1)<br />_  Savoir identifier les leviers de performances et de création de valeur au service des métiers<br />_  Rédiger des manuels utilisateurs et partage des meilleures pratiques</p><p><br />Pourquoi nous rejoindre </p><p>    <br />_  Travailler dans une ambiance conviviale<br />_  Rejoindre une équipe polyvalente<br />_  Avoir des missions diversifiées<br />_  Avoir de l'autonomie d'exécution de vos missions </p>",A négocier
7,Data Analyst F/H,HAVANA IT &APPS,101888,597152,"<p>Ton profil ? :</p><p> </p><ul><li>Tu es titulaire d’un BAC+5 en informatique avec une expérience significative dans un poste similaire.</li><li>Tu es expert(e) dans les projets Data Sciences et l’analyse de données.</li><li>Tu as également des connaissances approfondies sur Spark/PySpark.</li><li>Tu maîtrises également la technologie Python.</li><li>Tu disposes d’une expérience de travail réussie en contexte agile.</li><li>Tu es rigoureux(se) et tu disposes d’une forte capacité d’adaptation, d’analyse, et d’un bon relationnel.</li></ul><p> </p><p>Si tu as lu jusqu’ici, ne t’arrête pas, la suite pourrait te plaire !</p><p>L’esprit havaneiro c’est :</p><ul><li>Être acteur des projets de transformation digitale et d’amélioration SI de nos clients ;</li><li>Intégrer une équipe et bénéficier d’un management de proximité ;</li><li>Être moteur dans le développement de notre structure ;</li><li>Apporter ta contribution à nos projets d’incubation de Startups (Lab) ;</li><li>Avoir la possibilité de développer tes compétences à travers diverses formations ;</li><li>Pouvoir échanger sur des sujets à la pointe de la technologie lors d’évènements ; (Workshop/Afterwork) ;</li><li>Être soucieux de l’environnement et du bien-être au travail (Nous sommes certifiés MASE).</li></ul><p> </p><p>Et d’autres avantages t’attendent !!!</p><p> </p><p>Si tu recherches à développer tes compétences dans une entreprise dynamique et soucieuse de ses collaborateurs, alors n’hésite pas et envoie ton CV !</p>","<p>Havana IT & Apps : une ESN fondée en 2011 qui s’appuie sur des valeurs simples, d’initiative, de performance et de plaisir au travail !</p><p>Havana aujourd’hui ?</p><p>Entreprise à taille humaine, 150 collaborateurs évoluant au sein d’environnements riches et innovants pour transformer le quotidien de nos clients situés dans les quatre coins de la France (Paris, Lyon, Grenoble…).</p><p>Havana, incubatrice de talents et d’idées, accompagne ses clients dans la transformation de leur SI.</p><p>En 2019, nous investissons sur la donnée et la data science avec l’acquisition de Data2I apportant son expertise sur l’analyse prédictive.</p>","<p>Parlons du projet que nous allons te confier :</p><p><br />Aujourd’hui, nous te proposons un nouveau projet et recrutons un Data Analyst  (H/F) sur Aix-en-Provence. Tu interviendras sur des projets d’envergures chez nos clients.</p><p> </p><ul><li>Tes missions principales seront les suivantes :</li><li>Participer au développement d’études Data Science en mode distribué/Big Data ;</li><li>Conception, gestion et exploitation de bases de données ;</li><li>Analyser des données massives.</li></ul>",A partir de 32 k€ brut annuel
8,Data Analyst F/H,ADMIRAL INTERMEDIARY SERVICES SA,101888,200269,"** VOTRE PROFIL :<br /><br />* Dernière année de Master 2 à dominante Mathématiques / Statistiques / Analyse de données / Techniques de Décisions / MIAGE / Big Data<br />* Maîtrise du traitement informatique des données à des fins d'analyse ou de statistiques (SAS, SQL, Excel)<br />* La connaissance d'un outil de BI est un plus (Tableau, Microstrategy)<br />* Capacité à apprendre facilement de nouveaux langages ou la maîtrise de nouveaux logiciels<br />* Avoir un bon esprit de synthèse, être analytique, rigoureux et avoir un goût prononcé pour les chiffres<br />* Capable de donner de la perspective aux chiffres, de les faire parler<br />* Une grande ouverture d'esprit, communications régulières avec les autres départements<br />* Organisé, vous savez gérer votre temps et prioriser vos tâches<br />* Notions d'anglais (travail régulier avec des équipes situées au UK, Espagne, Italie, USA)<br />* Forte envie de vous investir dans un environnement dynamique et en perpétuelle évolution<br /><br />** VOS QUALITES :<br /><br />* Pragmatique : vous analysez la situation, recherchez plusieurs solutions et consultez les parties prenantes avant d'agir. Vous savez présenter de manière convaincante vos arguments.<br />* Relations humaines : vous avez une excellente capacité d'écoute et de synthèse auprès de public variés, d'experts informatiques et métiers. Vous appréciez un environnement multilingue.<br />* Ouvert d'esprit : vous avez envie d'apprendre de nouvelles choses et vous vous sentez capable de réaliser des choses que vous n'avez jamais faites auparavant.<br />* Innovant : vous avez de nombreuses idées et vous n'êtes pas fermé sur des nouveautés dans le domaine de la Data","L'olivier Assurance est une filiale du groupe britannique Admiral, expert dans le domaine des assurances en ligne. Fondé en 2011, L'olivier a disrupté le marché avec une offre 100% digitale, une expérience aux petits oignions, des prix très compétitifs et des offres adaptées, sans superflu. Tout ça en tirant profit des innovations technologiques de notre temps.<br />Avec les épaules d'un grand groupe et l'agilité d'une start up, L'olivier a tout pour se surpasser et innover un peu plus chaque jour.<br />Ce que nous préférons c'est travailler sur des problématiques auxquelles personne n'avait encore pensé... autant dire que le terrain de jeu est immense ! Motivant non","** VOTRE FONCTION :<br /><br />En tant que Data Analyst, vous intégrez l'équipe Data Analytics et votre fonction se base sur un point principal :<br />* Exploiter les données pour aider les métiers à mieux comprendre leur business et à prendre des bonnes décisions<br />* Vous êtes impliqué dans chaque projet pour y apporter de la valeur et ainsi favoriser leur réussite.<br /><br />Donc être Data Analyst chez L'olivier Assurance, en quoi ça consiste plus précisément <br /><br />* Construire et automatiser des reportings avec notre outil BI<br />* Communiquer et être en relation avec les autres départements pour comprendre leurs besoins<br />* Réaliser des analyses pour répondre aux différentes problématiques business et préconiser des recommandations<br />* S'assurer de la cohérence et de la qualité des données transmises<br />* Être un support pour chaque département pour aider à l'interprétation des rapports<br />* Explorer des sources de données externes pouvant avoir une valeur ajoutée",30 - 40 k€ brut annuel
9,Data Analyst F/H,MISSION CONSEIL ASSISTANCE INGENIERIE,101888,200269,"<p>De formation BAC+5 avec une spécialisation en informatique, finance ou économie, vous justifiez d’une première expérience en tant que data analyst.</p><p>Vous êtes à l’aise avec les environnements techniques suivants : Python, SQL, SAP, BO, PL/SQL.</p>","<p>MCA est un acteur international du conseil en ingénierie et en hautes technologies (1450 salariés – CA de 110M€ en 2019). Son expertise et son expérience de plus de 25 ans font de lui un partenaire reconnu auprès des plus grandes entreprises françaises et internationales : Toyota, Valeo, Bonduelle, SNCF, Bombardier, Dassault, Orano, Engie, Framatome, Emerson, Carmat, Aptar…</p><p>Nous rejoindre, c'est intégrer une société jeune, dynamique, en pleine effervescence. Vous aurez l'opportunité de travailler sur des projets technologiques et stratégiques des groupes industriels de renom. Nous vous accompagnons tout au long de votre carrière en fonction de vos aspirations. Vous bénéficiez d'un suivi régulier et d'un panel de formation à votre disposition. Afin de favoriser les échanges et la communication, plusieurs événements sont organisés. L'accent est mis sur la qualité de vie au travail.</p>","<p>Vous rejoindrez l’équipe afin de l’aider dans tous ses projets ainsi que dans le traitement et le suivi au jour le jour en tant qu’analyste de données. Vos compétences vous permettent d’assurer :</p><ul><li>L’intervention sur l’ensemble du canal BI, des données brutes jusqu’au reporting en passant par la modélisation des données, les requêtes SQL et PL/SQL et le processus ETL,</li><li>La construction du processus ETL en archivant les données brutes et en les insérant dans nos tables oracles, les requêtes SQL et PL/SQL,</li><li>La création de votre table et vos Datawarehouses par le biais de la modélisation de données,</li><li>L’utilisation du script Shell pour ces processus,</li><li>La construction des univers SAP BO pour rendre les données disponibles pour l’entreprise.</li></ul>",A négocier
