,intitule,entreprise,Type Contrat,Niveau Experience,texte
0,Stage Data Analyst H/F - Paris - Janvier 2021,Jobmania,Full-time,Entry level,"['– Vous serez en charge du traitement des données sur notre data Warehouse / notre CRM (ZOHO CRM) et notamment de la surveillance et la propreté des bases ainsi que du déploiement de processus industriels de traitement de données.– En support de notre équipe sourcing, vous utiliserez MySQL quotidiennement afin d’extraire des fournisseurs pertinents en fonction des demandes acheteurs grâce à des recherches avancées en BDD ;– Vous exportez, importez et analysez des données pour mieux piloter l’activité et alimenter les commerciaux avec de nouvelles opportunités.De plus, vous travaillerez sur deux algorithmes de matching :– Un à destination des acheteurs pour leur proposer des fournisseurs pertinents (analyse des catégories, des bases de fournisseurs existants, des sélections fournisseurs, des notes attribuées, etc.)– L’autre pour les fournisseurs afin de les guider dans leur export : l’idée est de leur proposer des clients potentiels en fonction de leurs caractéristiques !– Vous êtes étudiant.e en bac+4/5 en Cycle Ingénieur ou équivalent, et avez une première expérience en Data.– Vous avez une maîtrise avancée d’Excel (fonctions de tri, rechercheV, fuzzy matching) ainsi que de SQL.– Vous êtes reconnu.e pour votre rigueur, votre organisation et votre appétence pour la recherche et l’analyse.– Vous parlez couramment Anglais.INFOS PRATIQUES SUR L\'OFFRE- Lieu : Paris 8- Démarrage : Janvier/Février- Durée : 6 mois- Gratification : 1 000€ brut mensuels + Participation aux frais de transports en commun à hauteur de 50%Avec Jobmania, trouve ton stage, et gagne 150€ en parrainant tes amis !Recommande une offre de stage, on te verse une prime de 150 € si ton.ta filleul.e est recruté.e. Retrouve toutes les infos sur le site de Jobmania, rubrique ""Parrainage"".Our job : connecting buyers with matching suppliers.Nous mettons en relation 7 000 fournisseurs et 4 500 acheteurs (Amazon, Walmart, Carrefour, Casino, Tesco, Metro…) à travers le monde. Nous connectons les acteurs majeurs de l\'industrie FMCG quelque soit le secteur : food, drinks, wine&spirits, grocery, beauty and personal care, home care...Notre objectif est de faire se rencontrer les bons business partners, au bon moment. Comment ? En alliant les technologies ultra-innovantes, basées sur la data, et l\'expertise humaine.Nous sommes aujourd\'hui une équipe de 50 personnes, et travaillons pour le monde entier. Notre team est composée de nationalités très différentes : si vous voulez évoluer dans un environnement multi-culturel, où l\'atmosphère est très proche d\'une start-up, come join us !']"
1,STAGE - DATA ANALYST F/H,JOBINLIVE,Full-time,Entry level,"[""Description du poste JOBINLIVE recrute pour le compte de son client Cdiscount Cdiscount est une aventure du numérique français. Passée en 20 ans d'une start-up bordelaise au leader français du e-commerce, l'entreprise n'a eu de cesse de répondre aux attentes de ses clients. L'objectif ? Rendre possible l'accès aux biens (high-tech, électroménager, vins, décorations ou encore les jouets) et aux services (énergie, offres de voyages ou forfaits téléphoniques) au plus grand nombre en construisant une économique numérique, européenne, inclusive et responsable. Avec audace et engagement, les collaborateurs de Cdiscount œuvrent tous les jours pour proposer grâce à la technologie et l'innovation, une expérience client riche, humaine et fluide.Depuis 2011, l'entreprise offre une vitrine aux PME/TPE en France et à l'étranger et accompagne leur digitalisation grâce à sa marketplace. Ce qui lui permet de proposer plus de 60 millions de produits à ses 9 millions de clients.Conservant l'agilité de son modèle et forte de son positionnement de leader français, Cdiscount construit chaque jour le e-commerce d'aujourd'hui et de demain.Cdiscount en chiffres :"", <li>4 Mds € de Volume d'affaires en 2019- 20 millions de visiteurs uniques par mois<li>60 millions de références<li>2 000 collaborateurs- 560 000 m² d'entrepôt logistique<li>70% de trafic sur mobile<li>Plus de 60 métiers représentésRejoignez un collectif animé par le goût du défiChez Cdiscount, nous sommes convaincus qu'un environnement de travail épanouissant contribue au développement de nos talents. Relevez nos défis et contribuez à connaître nos clients pour continuer à leur proposer la meilleure offre. Explorez un champ des possibles sans équivalenceVenez rendre possible l'accès aux biens et aux services au plus grand nombre en construisant une économie du numérique européenne, inclusive et responsable.Rattaché à la Direction Pilotage de l'Offre, vous serez notamment en charge de :- Piloter la performance de notre site internet au quotidien et proposer des recommandations court à moyen-terme pour optimiser notre chiffre d'affaires.- Travailler des données et créer des outils pour la retranscrire auprès des équipes offre.- Analyser la performance du projet et partager avec les équipes offre les résultats avec si besoin recommandations pour identifier de nouveaux leviers de croissance.- Animer les formations à nos outils webanalytics et UX analytics pour les nouveaux arrivants dans l'organisation- Faire une veille des solutions analytiques présentes sur le secteur du web et identifier celles à plus fort potentiel pour nos enjeux business Description du profil Révélez votre talentNous recherchons des collaborateurs ayant une énergie hors pair pour prendre part à une aventure humaine et professionnelle unique. De formation supérieure de type Bac+4/5 dans une grande école de commerce ou d'ingénieur, vous possédez un esprit analytique, une forte rigueur et vous êtes capable d'évoluer rapidement dans un environnement où règne la culture du résultat.D'un naturel dynamique et entrepreneur, vous apporterez un regard nouveau sur les problématiques rencontrées et proposerez sans cesse des solutions innovantes.Stage de fin d'études de préférence, vous disposez idéalement d'une première expérience réussie dans le domaine des études marketing et/ou dans l'utilisation d'outils webanalytics.Vous avez de bonnes notions sur un outil de datavisualisation (Power BI), SQL ainsi que d'une curiosité envers les langages de programmation.Rejoindre Cdiscount, c'est intégrer une entreprise engagée et inclusive qui lutte contre toute forme de discrimination. Une opportunité d'exprimer ses talents et de révéler sa singularité.Vous êtes persuadé que l'avenir appartient à celles et ceux qui osent faire bouger les lignes ? Nous aussi. Alors, Inventez-tout, Révélez-vous !Salaire et avantages Salaire : Salaire selon profil</li></li></li></li></li>]"
2,Stage Data Analyst H/F,dentsu international,Full-time,Entry level,"[""Afin de renforcer notre équipe, nous recherchons un data analyste en stage de 6 mois. Notre service data & content est spécialisé dans l’élaboration de stratégies éditoriales digitales performantes pour les marques de nos clients. Pour cela, nous partons de la data ! Search (SEO, SEA, GA), social media, forum, panel, pour identifier les meilleures opportunités de contenus à produire.Si vous souhaitez participer au développement d’une offre unique sur le marché et travailler dans un contexte innovant et motivant, n’hésitez pas à postuler pour nous rejoindre et construire la suite de l’histoire avec nous.Vous :Serez sous la direction de la directrice Content et de la data analyste en poste, et deviendrez le numéro 2 data de l’équipe !Vous intégrez une équipe soudée, créative et à taille humaine au sein d’un des groupes de communication leader au niveau mondial. Vous découvrez dans un premier temps le fonctionnement du service, les offres proposées et les méthodes data utilisées. Vous participerez à l’évolution des solutions d’analyses data préconisées à nos clients (B2B, B2C, luxe/voyage/auto/food/banque/industriel, retail…)Job Title:Stage Data Analyst H/FJob Description:Entreprise :Premier groupe de communication intégré, dentsu rassemble plus de 45000 collaborateurs dans le monde et intègre l’ensemble des métiers de la communication, autour d’agences leader sur leur métier : conseil media (Carat, Vizeum, Dentsu X), achats media (Amplifi, Amnet) stratégie et création digitales (Isobar, mcgarrybowen), publicité(gyro:paris), marketing services et design d'expériences (MKTG/Keneo) et performance digitale (iProspect).iProspect est l’agence « digitale et performance marketing » du groupe dentsu. Présente dans 32 pays sur les 5 continents, iProspect est un leader mondial dans son domaine d’expertise. Dirigés en France par Emilie Rouganne, 220 iProspecteurs opèrent les leviers Pull (SEO, SEA), les leviers Push (Display, Affiliation, E-mailing, Trading Desks média, social, vidéo et mobile), au travers des meilleures technologies du marché (Adserving, Tracking, Bid Management, DSP, Adexchanges, Dashboards…). iProspect travaille étroitement avec les clients Carat et Vizeum, ainsi qu’avec des clients gérés en propre.En France, nous avons été labellisés HappyTrainees 2018 (enquête auprès de nos stagiaires qui porte sur la progression professionnelle, l’environnement du travail, le management, la motivation, la fierté, le fun).Missions :Analyse et identification des nouvelles sources des données Gestion et support de bases de donnéesAnalyse data et premières recommandationsDéveloppement de machine learningData visualisationGestion des dashboard (reporting)Gestion de la migration des données outilsTravail à l’automatisation des rendus avec le service R&DEtudes quali & quanti (panel)Participation au comité Data du groupeVeille data / profilingProfil recherché :Curieux/se et malin(e) Rigoureux(se), débrouillard(e)Bac +3-4 en marketing data, datamining ou statistiques/école d'ingénieurPremière expérience en data analyse (stage ou autre)Bonnes connaissances en data science et Python sont un plusTrès bonne maîtrise d’ExcelOutils : IBM Watson, SEMrush, Majestic, Talkwalker, Google Analytics, Google Collab, Data Studio, GitHub, PycharmAppétence pour le marketing et la communication digitaleBon niveau d’anglaisLieu de travail : 4 place de Saverne Courbevoie (92100)Date de disponibilité :Au plus tard le 15 janvier 2021Type de contrat :Stage de 6 moisPackage :- Remboursement Navigo à hauteur de 70%- Cantine d’entreprise avec participation entreprise aux droits d’entrée- Conciergerie et offre CSELocation:Paris La DéfenseBrand:IprospectTime Type:Full timeContract Type:Student/Intern (Fixed Term) (Fixed Term)""]"
3,VIE Business Analyst IT - German speaker,ODDO BHF,Full-time,Entry level,"[ Company: ,  , ODDO BHF is an independent Franco-German financial services group, with a history stretching back over 170 years. It was created from the alliance of a French family-owned business built up by five generations of stockbrokers and a German bank specialising in Mittelstand companies. With 2,300 employees (1,300 in Germany and 1,000 in France and Tunisia), and more than 100 billion euros in assets under management, ODDO BHF operates in three main businesses, based on significant investment in market expertise: private wealth management, asset management and corporates and markets. The Group has a specific ownership structure as 60% of its capital is held by the Oddo family and 30% by employees. This “partnership” ethos guarantees the long-term involvement of its teams. In 2018, ODDO BHF generated net banking income of 591 million euros, and at 31 December 2018, the Group had over 866 million euros of shareholders' equity.,  ,  Missions: ,  , As a Business Analyst, you will join the IT- Application Management department of ODDO BHF based in Frankfurt am Main focused on Corebanking applications. During the VIE, you will have the following missions:,  , <ul><li>As interface between business and IT-development you will guide the stakeholders in improving the existing applications and services</li><li>Support the planning, initiation, implementation and closure of IT-projects</li><li>Organize workshops with different business areas to analyze their requirements and provide the related business specifications</li><li>Control the development process with your colleagues in Paris and Tunis</li><li>Assist the integration and testing of new solutions</li><li>Get in touch with agile project management methodologies</li><li>Be the support for business in case of productive issues </li></ul>,  , The success of your mission will allow you to evolve towards a permanent contract within the IT team in France or Germany. ,  ,  Required profile: ,  , <ul><li>Successfully completed university studies in economics or engineering with a specialization in Finance</li><li>Focus on banking business preferable</li><li>Basic knowledge of programming, data models and IT infrastructure</li><li>Knowledge of project management methods, especially agile</li><li>High level of process understanding and analytical skills</li><li>Excellent presentation and structuring skills</li><li>Competent appearance combined with very good verbal and written expression skills</li><li>Team player</li><li>Fluency in French, English and German is mandatory</li></ul>,  , <em>“V.I.E enables French companies to send a young person between 18 and 28 years of age on a working assignment abroad for a flexible period of 6 to 24 months […]. It is open to young French candidates, of all educational backgrounds, who have fulfilled their national service obligations, as well as to young people from the European Economic Area meeting the same conditions.” - civiweb.com</em>]"
4,Analyste de données ESMS F/H,Sécurité sociale,Full-time,Entry level,"[""Description du poste Le pôle programmation produit et analyse les données issues principalement de son système d'information Seppia, permettant de suivre l'utilisation et la programmation des crédits d'installation et/ou transformation de l'offre par les ARS. Afin de soutenir une démarche d'amélioration de la qualité de ses productions, notre équipe souhaite élargir ses connaissances des besoins existant sur les territoires et diversifier ses angles d'analyse de l'offre médico-sociale existante.Le poste est centré sur l'organisation, la production et l'analyse de données en complément des travaux déjà conduits :"", <li>Mettre en place des tableaux de bord pour la mise en perspective des besoins et de l'évolution de l'offre ; alimenter en particulier la publication du bilan annuel de l'évolution de l'offre, en exploitant des données relatives aux orientations médico-sociales (systèmes d'information des MDPH et de suivi des orientations Viatrajectoire), aux enquêtes de la DREES (Care et ES) et de l'Education Nationale, et en s'appuyant sur les données existantes relatives à l'offre existante (indicateurs d'équipement, de population) et à son évolution (Seppia). Analyse des différentes données disponibles sur les personnes âgées et recommandation pour la constitution de nouvelles sources de données.<li>Contribuer à des projets relatifs au suivi de l'activité des ESMS :<li>Coordonner l'harmonisation des processus de remontées des rapports d'activité des ESMS, de leurs modèles nationaux, de leur diffusion et exploitation, en lien étroit avec les référents des thématiques concernées par ces travaux,<li>Participer à la mise en place d'un cadre opposable sur la mesure d'activité en ESMS et aux équivalences entre les différentes modalités<li>Répertoire Opérationnel des RessourcesLes missions sont évolutives, en fonction de l'actualité et de l'évolution des besoins.En interne, vos interlocuteurs seront l'ensemble de l'équipe du pôle programmation, celle du pôle allocation budgétaire, elle-même productrice de données, et l'équipe du pôle Serafin PH notamment sur le sujet de la mesure de l'activité. Description du profil Les compétences transverses de l'emploi-type chargé de mission requises sont les suivantes :<li>Travailler ensemble<li>Être fiable<li>Analyser, diagnostiquer<li>Evaluer les situations<li>Capitaliser et partager son savoir-faire<li>Proposer des actions de progrèsLes compétences spécifiques requises sont les suivantes :<li>Connaissance du secteur médico-social, ses modalités de financement, ses problématiques et ses acteurs<li>Connaissances solides en statistiques et gestion de données provenant de sources diverses<li>Connaissance des logiciels de cartographie (exemple : Cartes &amp; Données).De formation Bac +5, le candidat devra posséder une expérience confirmée en organisation, analyse et production de données issues de sources variées.Une expérience confirmée au sein d'un gestionnaire d'établissements et services médico-sociaux ou d'une Agence Régionale de Santé ou un Conseil Départemental serait un plus.A compétences égales, les candidatures des personnes handicapées seront particulièrement valorisées.Poste à pourvoir en CDI convention collective UCANSS niveau 6 ou plus selon profil et expérience ou fonctionnaire en détachement de catégorie A de l'Etat ou de la fonction publique territoriale.Lettre de motivation et CV à adresser à la Direction des Ressources, sous la référence DESMS/CMANALYSTE/122020 avant le 23/01/2021 à l'adresse mail: toutes informations complémentaires sur ce poste, la personne à contacter est Fanny THIRON, Responsable du pôle Programmation de l'offre, au **************.Salaire et avantages Salaire : Salaire selon profil</li></li></li></li></li></li></li></li></li></li></li></li></li></li>]"
5,Mentor Data Analyst,OpenClassRoom,Full-time,Entry level,"[""Première école en ligne d'Europe, OpenClassrooms offre des parcours diplômants et professionnalisants à plus de 2 millions d'étudiants chaque mois à travers le monde. Notre mission est de rendre l'éducation accessible, partout, pour tout le monde.Les mentors sont au coeur du modèle pédagogique OpenClassrooms. Ils accompagnent chaque semaine, en visio conférence, leurs étudiants vers la réussite.Leur rôle est à la fois de guider les étudiants, en définissant avec eux leur plan de formation, que de les inspirer en leur donnant de la perspective sur leur futur métier.Les mentors sont unis à OpenClassrooms par un contrat de prestation de services.Sur le parcours Data Analyst, nos étudiants découvrent le monde de la Data Science. Pour cela, ils doivent réaliser un certain nombre de projets professionnalisants, comme réaliser une étude, effectuer une prédiction de revenus et communiquer leurs résultas, sur lesquels vous les accompagnez.Vous disposez de minimum 2 ans d'expériences professionnelles réussies en Data AnalyseVous maîtrisez les bases R ou Python, savez effectuer des requêtes complexes en SQL, et êtes à l'aise avec TableauVous êtes passionné par votre métier, et aimez en parler avec dynamisme et enthousiasmeVous adaptez votre style de communication aux profils et besoins de vos interlocuteursVous savez vulgariser des concepts complexes, fixer des objectifs et donner des feedbacks constructifsVous êtes rigoureux et impliqué dans vos missionsCe que nous offrons :Changez la vie de vos étudiants et participez à cette grande aventure de rendre l'éducation accessible à tousDéveloppez vos compétences pédagogiques, perfectionnez votre savoir technique et sectorielTravaillez d'où vous voulez, quand vous voulezComplétez vos revenusPour postuler, rendez-vous sur https://mentor.openclassrooms.com/o/mentor-data-machine-learningRejoignez la communauté des mentors OpenClassrooms et participez vous aussi à la démocratisation de l'éducation ! Retrouvez des témoignage de mentors sur oc.cm/parolesdementors""]"
6,Mentor Data Analyst,OpenClassRoom,Full-time,Entry level,"[""Première école en ligne d'Europe, OpenClassrooms offre des parcours diplômants et professionnalisants à plus de 2 millions d'étudiants chaque mois à travers le monde. Notre mission est de rendre l'éducation accessible, partout, pour tout le monde.Les mentors sont au coeur du modèle pédagogique OpenClassrooms. Ils accompagnent chaque semaine, en visio conférence, leurs étudiants vers la réussite.Leur rôle est à la fois de guider les étudiants, en définissant avec eux leur plan de formation, que de les inspirer en leur donnant de la perspective sur leur futur métier.Les mentors sont unis à OpenClassrooms par un contrat de prestation de services.Sur le parcours Data Analyst, nos étudiants découvrent le monde de la Data Science. Pour cela, ils doivent réaliser un certain nombre de projets professionnalisants, comme réaliser une étude, effectuer une prédiction de revenus et communiquer leurs résultas, sur lesquels vous les accompagnez.Vous disposez de minimum 2 ans d'expériences professionnelles réussies en Data AnalyseVous maîtrisez les bases R ou Python, savez effectuer des requêtes complexes en SQL, et êtes à l'aise avec TableauVous êtes passionné par votre métier, et aimez en parler avec dynamisme et enthousiasmeVous adaptez votre style de communication aux profils et besoins de vos interlocuteursVous savez vulgariser des concepts complexes, fixer des objectifs et donner des feedbacks constructifsVous êtes rigoureux et impliqué dans vos missionsCe que nous offrons :Changez la vie de vos étudiants et participez à cette grande aventure de rendre l'éducation accessible à tousDéveloppez vos compétences pédagogiques, perfectionnez votre savoir technique et sectorielTravaillez d'où vous voulez, quand vous voulezComplétez vos revenusPour postuler, rendez-vous sur https://mentor.openclassrooms.com/o/mentor-data-machine-learningRejoignez la communauté des mentors OpenClassrooms et participez vous aussi à la démocratisation de l'éducation ! Retrouvez des témoignage de mentors sur oc.cm/parolesdementors""]"
7,Data Analyst - R / Python (H/F) en CDI à Lille,Hexagon,Full-time,Entry level,"['Resumé : Annonceur recrute un Data Analyst', <li>R / Python (H/F) en CDI à Lille (59000). Le profil idéal ? Formation et expérience de 1<li>2 ans. Salaire : Selon profilDescription de l'offre :L'enjeu de votre fonction est d'analyser l'ensemble des données internes et externes à l'entreprise afin de lui donner une véritable clé de lecture sur ses points de force, ses points de faiblesse ainsi que sur les opportunités et les axes d'améliorations de leur marché.Pour cela, vous êtes rattaché au directeur des catégories et du développement produit. Vous êtes au contact des équipes développement produits et commerciales.De manière détaillée, vos missions sont :-Vous effectuez des analyses comparatives de produits et des marchés, vous analysez les concurrents et les prix des produits des différentes catégories.-Vous êtes capable de proposer et d'enrichir les propositions de marché et de produits en s'appuyant sur des données et des résultats clés.-Vous savez identifier, analyser et interpréter les tendances ou les schémas dans des ensembles de données complexes.-Vous aidez le chef de produit à concevoir, analyser et interpréter les résultats des analyses de produits ou de consommateurs et à les communiquer aux équipes.-Vous rapportez des analyses internes du services et vous proposez de nouvelles idées analyses pertinentes aux équipes commerciales.-Vous êtes en mesure d'identifier, analyser et interpréter les tendances ou les modèles dans les ensembles de données complexes.-Vous communiquez ces recommandations aux parties prenantes en utilisant le jargon analytique et commercial lorsque cela est approprié (écrit et oral).Profil recherché :<li>Diplômé d'un master en ingénierie des données informatiques, en analyse marketing ou en mathématiques, vous êtes passionné par la compréhension des consommateurs et l'application des connaissances pour stimuler la croissance des entreprises.- Vous avez une expérience de deux à trois ans d'expérience dans la gestion et l'analyse des données.<li>Vous disposez de compétences analytiques exceptionnelles et vous avez une réelle faculté de présentation (notamment dans votre capacité à présenter des données dans un format visuellement convaincant).<li>Vous maîtrisez la modélisation, le nettoyage, la préparation des données et surtout l'analyse de ces dernières.Vous parlez anglais couramment.- L'expérience du FMCG est un plus.Enfin vous possédez une connaissance technique approfondie sur ces différents éléments :-SQL, ou langage de requête structuré.-Microsoft Excel.-Programmation R ou Python-Statistique.-Visualisation de données.-Apprentissage automatique.-Outils d'intelligence économique (Mintel, Euromonitor, Nielsen).En termes de personnalité, vous vous retrouvez dans ces différents éléments:- Travailler en équipe- Esprit analytique- Curiosité- Relationnel- Force de propositionsPour postuler : Cliquez sur le bouton ci-dessous 'Postuler', vous serez redirigé vers l'offre originale Data Analyst<li>R / Python (H/F) de notre partenaire pour finaliser votre candidature.</li></li></li></li></li></li>]"
8,Data Analyst - H/F,Freebox,Full-time,Entry level,"[""Le poste Notre équipeNousaccompagnons nos interlocuteurs dans la construction et la modélisation deleurs besoins en matière de données analytiques. Riche en activité, nousproposons notre savoir-faire en BI, gestion base de données, analyse,statistique, développement et machine Learning à travers la valeur ajoutée denos divers reporting et application.En tant que Data Analyst, vous avez pour missions principales de : Participer à l’enrichissement de l’entrepôt dedonnées à travers l’identification des données manquantes.Contribuer au prétraitement et à laqualification des données pour les besoins statistiques ou analytiquesGarantir la bonne cohérence, la fraicheur, et ladisponibilité des donnéesRecueil des besoins et définition desspécificationsConcevoir et industrialiser les rapports,représenter visuellement les données et mettre en valeur les indicateurs cléssur notre outil BI. (+1)Comprendre le modèle de données analytiques etmaîtriser les volumes et les vélocités de nos métadonnées.Développer, améliorer et évaluer les algorithmesde traitement de données, d’exploitation et de prédiction.Maîtriser les différents modèles d’apprentissage(supervise, non supervisé, semi-supervisé (+1)Savoir identifier les leviers de performances etde création de valeur au service des métiersRédiger des manuels utilisateurs et partage desmeilleures pratiquesPourquoi nous rejoindre Travailler dans une ambiance convivialeRejoindre une équipe jeune et polyvalenteAvoir des missions diversifiéesAvoir de l'autonomie d’exécution de vos missions Profil recherché De formation supérieure (Bac+5 ou plus) avec une spécialisation en Parcours informatique orienté data/ Statistiques/ analystede données,...Vous faites preuve d'une : Maîtrise parfaite de l’utilisation de l’un de ces langages (R, Python) Connaissances en VBA Maîtrise de l’un des outils de Data visualisation (Tableau, QlikView, PowerBI, etc) (+1)Connaissances SQL, Excel (optionnel)Maîtrise de l'anglais (oral et écrit)Vous êtes également reconnu(e) pour votre : Bonnes capacités analytiquesAutonomie et rigueurCuriosité et capacité à être force de propositionFort rédactionnel Adaptabilité et fort relationnel Les plus :Une expérience dans une entreprise de télécommunicationDouble connaissance de l’écosystème IT & Télécom""]"
9,Junior Business Analyst CRM (VIE) - H/F à Asté,Talent Sponsored FR,Full-time,Entry level,"['Junior Business Analyst CRM (VIE) - H/F',  ,  , 'Ce que vous allez faire',  ,  , ""Ce qu'on vous propose""]"
